fips,rate
27081,0.045
27083,0.049
27085,0.08
27087,0.06
27089,0.062
27091,0.069
27093,0.078
27095,0.105
27097,0.09
27099,0.055
27101,0.039
27103,0.061
27105,0.045
27107,0.051
27109,0.055
27111,0.063
27113,0.056
27115,0.091
27117,0.053
27119,0.044
27121,0.064
27123,0.074
27125,0.067
27127,0.061
27129,0.064
27131,0.075
27133,0.051
27135,0.05
27137,0.082
27139,0.068
27141,0.081
27143,0.065
27145,0.068
27147,0.077
27149,0.043
27151,0.066
27153,0.075
27155,0.062
27157,0.071
27159,0.088
27161,0.07
27163,0.068
27165,0.075
27167,0.047
27169,0.07
27171,0.082
27173,0.051
28001,0.08
28003,0.113
28005,0.086
28007,0.118
28009,0.126
28011,0.09
28013,0.097
28015,0.098
28017,0.132
28019,0.113
28021,0.15
28023,0.1
28025,0.178
28027,0.111
28029,0.099
28031,0.077
28033,0.072
28035,0.077
28037,0.09
28039,0.1
28041,0.099
28043,0.11
28045,0.075
28047,0.072
28049,0.079
28051,0.166
28053,0.102
28055,0.092
28057,0.096
28059,0.08
28061,0.102
28063,0.155
28065,0.106
28067,0.071
28069,0.103
28071,0.069
28073,0.066
28075,0.087
28077,0.102
28079,0.087
28081,0.098
28083,0.116
28085,0.088
28087,0.102
28089,0.063
28091,0.101
28093,0.112
28095,0.137
28097,0.127
28099,0.084
28101,0.079
28103,0.176
28105,0.08
28107,0.119
28109,0.083
28111,0.104
28113,0.098
28115,0.087
28117,0.115
28119,0.111
28121,0.056
28123,0.059
28125,0.09
28127,0.082
28129,0.082
28131,0.072
28133,0.118
28135,0.099
28137,0.103
28139,0.125
28141,0.101
28143,0.13
28145,0.088
28147,0.103
28149,0.091
28151,0.113
28153,0.094
28155,0.135
28157,0.101
28159,0.151
28161,0.129
28163,0.105
29001,0.065
29003,0.076
29005,0.079
29007,0.092
29009,0.081
29011,0.117
29013,0.108
29015,0.093
29017,0.088
29019,0.062
29021,0.087
29023,0.08
29025,0.086
29027,0.08
29029,0.079
29031,0.069
29033,0.098
29035,0.087
29037,0.097
29039,0.086
29041,0.105
29043,0.08
29045,0.113
29047,0.086
29049,0.087
29051,0.067
29053,0.084
29055,0.107
29057,0.101
29059,0.094
29061,0.087
29063,0.093
29065,0.094
29067,0.098
29069,0.111
29071,0.115
29073,0.108
29075,0.068
29077,0.083
29079,0.069
29081,0.078
29083,0.096
29085,0.123
29087,0.071
29089,0.083
29091,0.092
29093,0.087
29095,0.109
29097,0.084
29099,0.106
29101,0.08
29103,0.059
29105,0.11
29107,0.09
29109,0.078
29111,0.083
29113,0.113
29115,0.103
29117,0.078
29119,0.07
29121,0.079
29123,0.098
29125,0.087
29127,0.089
29129,0.079
29131,0.106
29133,0.097
29135,0.078
29137,0.11
29139,0.103
29141,0.113
29143,0.089
29145,0.079
29147,0.059
29149,0.09
29151,0.099
29153,0.076
29155,0.121
29157,0.072
29159,0.081
29161,0.071
29163,0.083
29165,0.08
29167,0.089
29169,0.068
29171,0.074
29173,0.08
29175,0.094
29177,0.083
29179,0.127
29181,0.095
29183,0.087
29185,0.103
29186,0.093
29187,0.109
29189,0.096
29195,0.079
29197,0.078
29199,0.122
29201,0.092
29203,0.096
29205,0.081
29207,0.09
29209,0.09
29211,0.064
29213,0.086
29215,0.088
29217,0.079
29219,0.112
29221,0.137
29223,0.095
29225,0.09
29227,0.084
29229,0.096
29510,0.111
30001,0.044
30003,0.102
30005,0.05
30007,0.062
30009,0.048
30011,0.039
30013,0.052
30015,0.042
30017,0.046
30019,0.042
30021,0.048
30023,0.065
30025,0.037
30027,0.047
30029,0.088
30031,0.055
30033,0.034
30035,0.072
30037,0.047
30039,0.082
30041,0.051
30043,0.058
30045,0.046
30047,0.083
30049,0.043
30051,0.047
30053,0.111
30055,0.032
30057,0.048
30059,0.078
30061,0.086
30063,0.056
30065,0.075
30067,0.061
30069,0.045
30071,0.048
30073,0.06
30075,0.04
30077,0.073
30079,0.031
30081,0.075
30083,0.046
30085,0.075
30087,0.073
30089,0.112
30091,0.043
30093,0.055
30095,0.052
30097,0.031
30099,0.04
30101,0.041
30103,0.051
30105,0.046
30107,0.043
30109,0.041
30111,0.047
31001,0.056
31003,0.036
31005,0.044
31007,0.035
31009,0.052
31011,0.039
31013,0.071
31015,0.036
31017,0.031
31019,0.035
31021,0.057
31023,0.039
31025,0.046
31027,0.032
31029,0.03
31031,0.025
31033,0.041
31035,0.043
31037,0.04
31039,0.035
31041,0.031
31043,0.055
31045,0.044
31047,0.048
31049,0.038
31051,0.037
31053,0.049
31055,0.05
31057,0.04
31059,0.044
31061,0.037
31063,0.03
31065,0.041
31067,0.059
31069,0.044
31071,0.025
31073,0.038
31075,0.031
31077,0.033
31079,0.044
31081,0.034
31083,0.036
31085,0.042
31087,0.066
31089,0.032
31091,0.04
31093,0.038
31095,0.046
31097,0.039
31099,0.038
31101,0.039
31103,0.044
31105,0.043
31107,0.036
31109,0.042
31111,0.04
31113,0.043
31115,0.032
31117,0.04
31119,0.042
31121,0.04
31123,0.041
31125,0.036
31127,0.054
31129,0.047
31131,0.05
31133,0.041
31135,0.031
31137,0.038
31139,0.036
31141,0.044
31143,0.042
31145,0.042
31147,0.057
31149,0.031
31151,0.04
31153,0.047
31155,0.045
31157,0.048
31159,0.037
31161,0.035
31163,0.03
31165,0.038
31167,0.036
31169,0.043
31171,0.038
31173,0.138
31175,0.029
31177,0.041
31179,0.038
31181,0.042
31183,0.032
31185,0.057
32001,0.099
32003,0.139
32005,0.126
32007,0.068
32009,0.083
32011,0.093
32013,0.086
32015,0.072
32017,0.094
32019,0.163
32021,0.105
32023,0.161
32027,0.106
32029,0.148
32031,0.131
32033,0.084
32510,0.128
33001,0.07
33003,0.054
33005,0.065
33007,0.078
33009,0.056
33011,0.075
33013,0.063
33015,0.075
33017,0.066
33019,0.065
34001,0.122
34003,0.084
34005,0.091
34007,0.109
34009,0.085
34011,0.126
34013,0.111
34015,0.1
34017,0.116
34019,0.069
34021,0.081
34023,0.092
34025,0.087
34027,0.076
34029,0.096
34031,0.117
34033,0.101
34035,0.079
34037,0.085
34039,0.098
34041,0.088
35001,0.075
35003,0.081
35005,0.068
35006,0.063
35007,0.08
35009,0.044
35011,0.043
35013,0.069
35015,0.06
35017,0.123
35019,0.075
35021,0.045
35023,0.076
35025,0.083
35027,0.051
35028,0.029
35029,0.134
35031,0.086
35033,0.131
35035,0.068
35037,0.059
35039,0.072
35041,0.044
35043,0.09
35045,0.083
35047,0.078
35049,0.065
35051,0.048
35053,0.05
35055,0.087
35057,0.088
35059,0.055
35061,0.085
36001,0.071
36003,0.079
36005,0.133
36007,0.085
36009,0.085
36011,0.08
36013,0.078
36015,0.089
36017,0.087
36019,0.09
36021,0.077
36023,0.085
36025,0.084
36027,0.082
36029,0.083
36031,0.078
36033,0.078
36035,0.091
36037,0.072
36039,0.084
36041,0.056
36043,0.076
36045,0.078
36047,0.11
36049,0.076
36051,0.075
36053,0.074
36055,0.083
36057,0.088
36059,0.072
36061,0.092
36063,0.088
36065,0.073
36067,0.079
36069,0.067
36071,0.082
36073,0.082
36075,0.093
36077,0.068
36079,0.07
36081,0.091
36083,0.077
36085,0.089
36087,0.074
36089,0.089
36091,0.064
36093,0.078
36095,0.076
36097,0.074
36099,0.073
36101,0.095
36103,0.075
36105,0.086
36107,0.079
36109,0.056
36111,0.081
36113,0.072
36115,0.074
36117,0.078
36119,0.074
36121,0.078
36123,0.06
37001,0.118
37003,0.136
37005,0.109
37007,0.148
37009,0.1
37011,0.079
37013,0.112
37015,0.105
37017,0.12
37019,0.105
37021,0.082
37023,0.141
37025,0.114
37027,0.152
37029,0.071
37031,0.076
37033,0.124
37035,0.136
37037,0.08
37039,0.142
37041,0.119
37043,0.108
37045,0.143
37047,0.125
37049,0.1
37051,0.091
37053,0.05
37055,0.068
37057,0.125
37059,0.121
37061,0.087
37063,0.08
37065,0.163
37067,0.095
37069,0.097
37071,0.133
37073,0.071
37075,0.134
37077,0.102
37079,0.102
37081,0.11
37083,0.131
37085,0.109
37087,0.085
37089,0.086
37091,0.094
37093,0.083
37095,0.059
37097,0.121
37099,0.078
37101,0.095
37103,0.109
37105,0.135
37107,0.114
37109,0.132
37111,0.141
37113,0.092
37115,0.093
37117,0.106
37119,0.11
37121,0.11
37123,0.133
37125,0.095
37127,0.119
37129,0.091
37131,0.107
37133,0.083
37135,0.063
37137,0.101
37139,0.091
37141,0.108
37143,0.103
37145,0.108
37147,0.1
37149,0.082
37151,0.11
37153,0.132
37155,0.115
37157,0.117
37159,0.128
37161,0.143
37163,0.083
37165,0.165
37167,0.119
37169,0.101
37171,0.118
37173,0.091
37175,0.085
37177,0.088
37179,0.1
37181,0.13
37183,0.083
37185,0.127
37187,0.117
37189,0.069
37191,0.088
37193,0.129
37195,0.119
37197,0.093
37199,0.109
38001,0.027
38003,0.034
38005,0.053
38007,0.013
38009,0.029
38011,0.027
38013,0.022
38015,0.028
38017,0.037
